Date,Close,High,Low,Open,Volume
2020-03-24,422.032959,433.9325419,400.7389591,416.0384186,45734887
2020-03-25,484.1478577,515.1494078,430.9128665,431.1589037,73130298
2020-03-26,476.967865,499.6486775,466.2984991,490.2095275,45744488
2020-03-27,476.6994324,495.3540612,468.0207913,489.851626,41657940
2020-03-30,460.9749756,480.8150863,456.3001498,465.5156292,30229866
2020-03-31,498.239502,505.4194934,468.8260394,480.4348493,44292810
2020-04-01,483.3426514,503.0932643,467.5734569,502.0419846,41597459
2020-04-03,482.0005493,507.4996933,472.5390331,507.4996933,41367807
2020-04-07,539.5526123,543.0866608,492.0884269,493.0278715,54373624
2020-04-08,533.3120117,549.7970117,518.9296309,527.876677,49880330
2020-04-09,545.7484131,551.4968858,533.6922623,543.0866484,33032857
2020-04-13,531.9699097,543.5339847,527.8765967,538.5907252,23673784
2020-04-15,514.3889771,552.9284541,511.324606,535.5040394,35321842
2020-04-16,522.5307617,531.2094028,512.2192986,514.388929,37455706
2020-04-17,547.5600586,550.2442196,533.5355534,543.9812768,33269335
2020-04-20,556.4179077,562.3229208,537.7185404,548.4550092,36030932
2020-04-21,553.5323486,560.0860337,520.71901,541.2972025,61371628
2020-04-22,610.0106812,619.5393292,581.5590585,590.5061044,142683366
2020-04-23,613.2763062,619.9642526,605.4028781,611.6882183,65464502
2020-04-24,633.8994141,668.7705821,602.6741597,603.9938437,134986308
2020-04-27,639.6031494,659.8458688,636.5835123,641.5043759,58482901
2020-04-28,638.8873901,651.1000808,622.7826591,648.6620459,78453401
2020-04-29,638.3505249,650.2948711,635.2414198,646.3805533,37494672
2020-04-30,655.8196411,668.7705323,643.31615,650.4290406,71345899
2020-05-04,642.0411987,655.3722994,634.1006388,644.1884921,53456868
2020-05-05,653.4262695,661.6352335,647.4093927,650.3172243,44903763
2020-05-06,653.4710693,664.2970042,646.6489201,654.9249553,40489094
