"Date","Price","Open","High","Low","Vol.","Change %"
"28-10-2016","237.19","236.08","237.87","234.68","7.50M","0.60%"
"27-10-2016","235.78","236.32","236.95","234.59","11.85M","-0.51%"
"26-10-2016","236.99","237.44","238.20","236.55","10.10M","-0.64%"
"25-10-2016","238.51","239.45","239.50","237.02","7.07M","-0.23%"
"24-10-2016","239.07","240.57","241.47","238.47","9.70M","-0.08%"
"21-10-2016","239.27","246.64","246.64","237.96","40.25M","-2.15%"
"20-10-2016","244.52","245.96","246.87","243.73","9.35M","0.02%"
"19-10-2016","244.47","243.82","246.13","243.14","15.76M","0.58%"
"18-10-2016","243.07","239.67","243.44","238.78","10.22M","1.93%"
"17-10-2016","238.47","242.82","243.00","238.04","9.07M","-1.58%"
"14-10-2016","242.29","239.00","243.27","238.69","14.09M","1.94%"
"13-10-2016","237.68","244.84","244.85","236.52","20.25M","-3.58%"
"10-10-2016","246.50","250.46","252.26","245.97","10.66M","-1.14%"
"07-10-2016","249.34","250.46","252.50","248.78","14.10M","-0.16%"
"06-10-2016","249.75","245.52","253.22","245.52","19.49M","1.97%"
"05-10-2016","244.93","248.22","248.78","244.12","9.96M","-0.64%"
"04-10-2016","246.50","245.75","249.18","245.52","12.10M","0.52%"
"03-10-2016","245.23","244.39","249.10","241.98","16.73M","0.65%"
"30-09-2016","243.65","240.12","246.09","239.74","10.34M","1.05%"
"29-09-2016","241.12","246.19","249.73","239.99","19.62M","-1.67%"
"28-09-2016","245.21","249.09","249.12","244.24","22.91M","-1.79%"
"27-09-2016","249.68","251.14","253.15","248.80","17.88M","0.30%"
"26-09-2016","248.94","248.08","253.96","247.37","35.27M","0.40%"
"23-09-2016","247.95","244.84","249.44","244.84","28.69M","1.27%"
"22-09-2016","244.83","243.49","246.37","242.60","17.32M","1.56%"
"21-09-2016","241.08","241.47","243.92","240.35","10.10M","-0.18%"
"20-09-2016","241.52","243.72","243.89","240.36","10.64M","-0.76%"
"19-09-2016","243.36","241.15","244.62","240.80","15.39M","0.64%"
"16-09-2016","241.82","239.90","245.93","238.12","36.30M","0.99%"
"15-09-2016","239.45","235.40","240.62","235.40","28.96M","1.94%"
"14-09-2016","234.89","235.63","238.10","234.03","17.17M","-0.17%"
"12-09-2016","235.29","231.67","237.42","231.39","31.09M","0.19%"
"09-09-2016","234.85","232.70","236.05","231.58","14.09M","1.08%"
"08-09-2016","232.34","230.02","232.92","229.38","11.27M","1.55%"
"07-09-2016","228.80","229.78","230.92","227.77","11.93M","-0.22%"
"06-09-2016","229.31","229.31","230.45","228.21","10.62M","0.65%"
"02-09-2016","227.84","231.83","232.15","225.35","25.96M","-1.54%"
"01-09-2016","231.40","236.75","241.19","230.61","39.34M","-2.90%"
"31-08-2016","238.32","239.43","241.47","235.40","21.50M","-0.60%"
"30-08-2016","239.76","238.77","240.23","236.75","16.77M","0.85%"
"29-08-2016","237.75","230.96","238.27","230.70","14.95M","2.87%"
"26-08-2016","231.11","228.86","231.76","228.12","8.90M","1.50%"
"25-08-2016","227.69","229.60","231.35","226.86","13.81M","-0.76%"
"24-08-2016","229.44","227.46","229.77","227.31","8.05M","0.99%"
"23-08-2016","227.18","227.53","228.21","225.96","6.76M","-0.14%"
"22-08-2016","227.50","227.53","229.26","226.45","6.17M","-0.30%"
"19-08-2016","228.18","228.88","229.78","226.43","7.55M","-0.31%"
"18-08-2016","228.89","228.43","230.15","228.43","7.15M","0.47%"
"17-08-2016","227.82","230.25","231.31","226.45","14.29M","-1.13%"
"16-08-2016","230.43","232.98","234.91","228.32","12.34M","-1.05%"
"12-08-2016","232.88","228.66","234.48","228.66","15.11M","2.14%"
"11-08-2016","228.00","225.27","229.97","224.74","13.08M","1.04%"
"10-08-2016","225.65","231.86","232.60","225.28","12.43M","-2.63%"
"09-08-2016","231.74","230.90","232.59","229.56","12.27M","0.14%"
"08-08-2016","231.41","229.31","232.48","229.03","12.51M","1.28%"
"05-08-2016","228.49","224.38","229.11","224.17","11.18M","2.34%"
"04-08-2016","223.26","224.61","224.83","221.10","9.40M","-0.09%"
"03-08-2016","223.47","228.07","228.07","222.92","10.96M","-1.86%"
"02-08-2016","227.71","226.63","229.33","226.25","7.12M","0.33%"
"01-08-2016","226.97","228.88","229.40","225.97","7.36M","-0.53%"
"29-07-2016","228.18","230.23","230.43","227.53","8.89M","-1.12%"
"28-07-2016","230.76","228.19","231.69","227.77","14.41M","1.31%"
