Price,Open,High,Low,Vol.,Change %,Target
241.08,241.47,243.92,240.35,10100000.0,-0.18,1
244.83,243.49,246.37,242.6,17320000.0,1.56,1
247.95,244.84,249.44,244.84,28690000.0,1.27,1
248.94,248.08,253.96,247.37,35270000.0,0.4,1
249.68,251.14,253.15,248.8,17880000.0,0.3,0
245.21,249.09,249.12,244.24,22910000.0,-1.79,0
241.12,246.19,249.73,239.99,19620000.0,-1.67,1
243.65,240.12,246.09,239.74,10340000.0,1.05,1
245.23,244.39,249.1,241.98,16730000.0,0.65,1
246.5,245.75,249.18,245.52,12100000.0,0.52,0
244.93,248.22,248.78,244.12,9960000.0,-0.64,1
249.75,245.52,253.22,245.52,19490000.0,1.97,0
249.34,250.46,252.5,248.78,14100000.0,-0.16,0
246.5,250.46,252.26,245.97,10660000.0,-1.14,0
237.68,244.84,244.85,236.52,20250000.0,-3.58,1
242.29,239.0,243.27,238.69,14090000.0,1.94,0
238.47,242.82,243.0,238.04,9070000.0,-1.58,1
243.07,239.67,243.44,238.78,10220000.0,1.93,1
244.47,243.82,246.13,243.14,15760000.0,0.58,1
244.52,245.96,246.87,243.73,9350000.0,0.02,0
239.27,246.64,246.64,237.96,40250000.0,-2.15,0
239.07,240.57,241.47,238.47,9700000.0,-0.08,0
238.51,239.45,239.5,237.02,7070000.0,-0.23,0
236.99,237.44,238.2,236.55,10100000.0,-0.64,0
235.78,236.32,236.95,234.59,11850000.0,-0.51,1
237.19,236.08,237.87,234.68,7500000.0,0.6,0
236.35,238.04,238.04,235.24,1460000.0,-0.35,0
236.3,236.37,237.41,235.49,9440000.0,-0.02,0
230.17,234.05,234.47,229.56,6500000.0,-2.59,1
230.22,230.2,232.65,229.47,6750000.0,0.02,0
226.08,229.39,230.88,224.83,10650000.0,-1.8,0
225.09,227.98,228.55,224.62,8770000.0,-0.44,1
225.62,226.12,226.12,224.45,12400000.0,0.24,1
225.87,213.59,226.86,209.1,19970000.0,0.11,1
227.17,229.02,231.34,226.41,9010000.0,0.58,0
225.23,224.35,228.77,223.73,13640000.0,-0.85,0
221.55,224.05,224.83,220.24,13370000.0,-1.63,1
221.81,223.71,224.11,220.49,15280000.0,0.12,0
219.83,221.69,224.42,219.08,11660000.0,-0.89,1
222.02,221.46,223.19,220.79,16770000.0,1.0,1
222.92,222.03,223.38,221.06,12210000.0,0.41,1
225.16,224.32,226.59,223.33,16290000.0,1.0,1
226.86,225.96,227.19,224.73,12100000.0,0.76,0
221.99,226.08,226.08,220.83,17460000.0,-2.15,1
223.42,222.59,223.91,221.31,9650000.0,0.64,0
221.83,223.26,224.97,221.26,7670000.0,-0.71,1
224.32,222.36,225.8,222.15,9120000.0,1.12,0
222.6,224.82,224.82,221.83,25470000.0,-0.77,1
224.33,224.83,228.21,223.71,11660000.0,0.78,0
223.65,223.91,225.96,222.99,11520000.0,-0.3,0
223.45,223.71,224.77,221.8,3680000.0,-0.09,1
